IC_01,IC_02,IC_03,IC_04,IC_05,IC_06,IC_07,IC_08,IC_09,IC_10,IC_11,IC_12,IC_13,IC_14,IC_15,IC_16,IC_17,IC_18,IC_19,IC_20,Subject
7.539274551,7.177718587999999,7.676426439,7.437312741,7.022630038,6.5839733570000005,6.823073592,6.428614683999999,6.620673166,5.629593389,6.209553284,5.191369685,4.871996144,7.268410977,4.465080518,4.313861088,5.22825677,5.318945267,-0.21280943149999998,0.3705386329,sub-100206
6.5934531960000005,6.185199722,6.240174996,6.359659837000001,5.609730119,6.0103339270000005,5.847190242000001,5.491429225,5.339962583,5.375112137,4.999780071,5.6566244029999995,5.544992553999999,5.069670099,4.91919418,4.510372488,5.2742893319999995,5.501881751,0.4708375708,0.5334083064,sub-100307
4.83845229,4.316630681,4.174449039,4.220457279,3.4391778769999997,3.308661732,3.801409791,3.630075844,3.7594768380000003,2.365069181,2.6822585709999998,2.528462495,2.548006178,3.918253317,1.458978759,1.138213153,1.7277928869999999,1.748427109,-0.5863416579999999,0.7602902353000001,sub-101107
6.850088425,6.668130294,6.360984377,6.770252332999999,5.930467319,6.669481749,5.726462135,5.8854120000000005,5.524939259,5.531163902,5.496886663,5.609827823,4.721969651,4.403302095,4.828802785,4.553667009,3.1677761560000004,2.209650944,0.5086941977,0.42938092640000003,sub-101915
4.98431927,6.118607419,6.365092401,4.8018697,6.445873988,4.9523802539999995,4.422493305,6.237287262000001,4.5881659169999995,3.761155127,3.4192351860000003,4.2072996289999995,4.6198829230000005,7.051903589,5.8779657,4.597516423,6.912937887999999,6.195493027,0.4568490158,0.1574980674,sub-102311
6.80711143,7.081678156000001,7.595524726,6.720516975,6.731692626,5.7776079110000005,6.216761387999999,6.741270954,5.768366917000001,4.659680748,5.134260676,4.958663711,5.024713453,5.826185927,4.9483255999999995,4.723383997,3.481776312,3.36776375,0.1914447303,-0.12750895439999999,sub-103818
6.287972185,6.604794756,6.836758282999999,5.986421539,6.433021612,5.477329888,4.591228193,5.699446664,5.385896121,3.32915343,4.041020894,4.456279781,4.385333456000001,5.395585408,4.10378341,3.612383393,2.466311181,2.3743412740000003,-0.3051772593,-0.3685337082,sub-105115
8.437018102,6.970380421000001,7.7451573179999995,8.105894982999999,7.012986487,7.438040339,7.178296942,6.457927463,5.544616222999999,7.1070739529999996,7.117538978,5.808735083999999,5.324863877,3.455971915,3.478442027,4.58991811,2.498117959,1.981473078,0.532758065,0.1278422282,sub-105620
7.527634191000001,6.9411939810000005,7.6848625329999996,7.781496138,6.310933886,8.250524143,6.382858503,5.891183428,6.14970175,5.245700265,6.008410432000001,5.725369659,5.070466324,4.2983048880000005,3.8836344780000003,3.9314966260000004,2.63255563,2.971662859,0.29831703519999997,0.2964689638,sub-106521
8.635225982,7.822095302999999,8.115953419,8.102607907000001,7.678757471,8.53792707,7.476095181,6.943939845,6.570128518,6.648946205,7.73399681,5.5629520370000005,5.141675604,6.191931079,4.573264034,5.071186642,3.2529524519999997,2.689461777,1.6725473880000001,0.015219212630000001,sub-106824
8.817819482,8.300441714,8.515744981000001,8.608081817,7.9131886289999995,8.282918282,7.884461579,7.519896623999999,7.791825519,7.0859720710000005,6.251453107000001,6.6165761089999995,5.906717637000001,7.289894703,6.050911995,4.537753467,6.350977402000001,5.761363322999999,0.127706061,0.5971937448,sub-107018
