IC_01,IC_02,IC_03,IC_04,IC_05,IC_06,IC_07,IC_08,IC_09,IC_10,IC_11,IC_12,IC_13,IC_14,IC_15,IC_16,IC_17,IC_18,IC_19,IC_20,Subject
8.749891566,8.055666067,7.690052509,8.381572143,7.752454342,7.968711676,8.687254346,9.689806226,7.732839958,7.661254079,7.461005114,6.640476167999999,6.958853062999999,5.244862749,5.996247874,3.906816465,5.7523902829999995,3.150394678,2.3586740059999998,1.6999529830000002,sub-100206
7.389122949,7.577610305,6.963300873,7.911805523,7.416805667,6.171192934,8.061033641,8.170963912000001,6.435416812000001,6.4059865810000005,6.538578897000001,6.460789338,6.452766945,5.445334097999999,5.602762654,5.62453721,1.642931142,1.53444806,0.8807102345000001,-0.4978202149,sub-100307
5.108032015,5.622367621,4.772856442,5.162783892,4.842455086,5.07230418,5.5237331229999995,4.77464399,5.427440957000001,4.555600193,4.417342482,4.422363798999999,3.8801836689999996,4.576921348,4.537556112,3.825930219,1.5998991009999999,0.6532980364000001,0.5892138237,-1.330539289,sub-101107
7.62906428,7.49588083,7.349028667000001,7.9864725960000005,7.349370041,6.518743967000001,7.0027976039999995,6.942915292,7.795419544,5.591867627,4.901317937,7.396835464,6.119411927000001,3.70384696,6.575240311,4.5760055269999995,0.8262937105,1.70381947,0.4432839078,-0.2912954758,sub-101915
7.875955382000001,8.107708452999999,7.453490699,8.021506296,7.700924896,8.237093857,8.372751387000001,8.131153416,6.179875541,7.618778985,8.599511165,6.36516722,7.052813096,7.352027251,5.746880825,7.553774207999999,6.719877151,4.13037894,0.7367638542,-0.6300184679,sub-102311
8.395605251000001,9.101508177000001,8.175597874,8.14444301,8.667419812999999,7.997180628,8.842281583,7.614746555,7.933224339,7.322259187,7.995729991,7.07583772,7.772969878,7.946008432,6.635357886,3.8188929189999996,2.834226681,2.555510396,0.3167068662,-0.8817488715999999,sub-103818
4.392955279,4.857718237,4.123338984,4.519991835,4.23272221,4.176468466,5.012014337,4.416144377,3.980350652,4.767006072,4.6604380139999995,3.856529627,4.491872936,3.008530155,3.167040717,2.8937674330000003,1.7948299019999998,1.462099835,-0.6638784015,0.32002157929999997,sub-105115
8.047632423,7.578875602999999,6.948318629,7.8125233110000005,7.37039089,7.510860414,7.5010130010000005,7.369196219,7.441786167999999,8.075195317,6.51038741,6.975694757,7.069067594,5.771671554,4.883521316,7.7526622629999995,3.07361195,2.56544844,-1.821220522,-5.891725644,sub-105620
7.0387613060000005,6.160642946,6.279359361,6.894368885,6.3032096189999995,7.266029453,6.905642611,7.440117585,5.447659273999999,6.282487818,6.404042115,5.208023125,4.8299554360000005,4.598794626,5.60568037,4.264143938,3.596687342,0.8909646876,1.0045912559999999,-7.16049647,sub-106521
6.381102293,5.605600225,5.2715056460000005,6.4605053329999995,5.4601767279999995,5.650252654,6.896457667000001,6.53822501,5.057121071,5.052133363,6.213056109,4.710852953,6.07516811,4.422659473,3.902872051,2.5438327640000002,4.217897608,3.045030096,4.423540171,2.620473336,sub-106824
8.053323832,7.9048125460000005,7.602915336000001,7.637233863,7.583451317000001,7.490836267000001,7.0694872779999995,7.308381037999999,7.991164448999999,6.0458468960000005,6.632305057999999,6.791577462999999,6.532133191000001,4.862951105,5.595833774,3.8106229610000004,2.180782072,0.38496361700000004,-0.9360839784,-1.117456575,sub-107018
5.611419426,5.161330767,5.318913491,5.478522601,5.173168067,5.46121332,4.9469990919999995,5.112770665,4.841544918,4.951500577,4.651535554,4.845937731999999,4.592408954,3.627188728,4.165888526,2.617898238,1.15176733,0.42631419159999995,0.279018365,-3.2789571719999997,sub-107321
4.82833286,4.246115141000001,4.919728983,3.998365755,4.6230325489999995,4.736536998,3.8613231569999997,3.8803514989999996,4.272535896,4.179212786,4.665072787,4.084122001,4.173688889,3.5876953560000002,2.3175764759999997,2.4540965409999997,2.745290541,2.8423504910000004,-2.16086452,-3.194063468,sub-107422
6.7508357210000005,6.721576982,6.360171397,6.14662578,5.991129051000001,6.290126148,6.368173903,6.0598141729999995,5.867830014,5.782947735,5.471628118,5.6346280989999995,5.877036069,4.9419682,3.6210428830000003,4.435840024,2.220011167,1.419442355,0.7718333433,0.002679659422,sub-108222
7.707937853,7.1411762439999995,6.537132037999999,8.157230395,7.223511581,6.580645485,9.459875121,9.68402398,7.372807721,5.851870545,6.949287495,7.070513227999999,4.928665092,5.247286094,4.783661816,4.4770235739999995,5.883180078,4.493305003,0.7868826639000001,-0.4885267592,sub-108323
7.287034537,7.929718897000001,7.047595759,6.980453193,7.053527532,7.033311423,6.441445083,6.067612337999999,7.071240173,7.757283106,5.632396882999999,7.1328701610000005,7.253347937999999,4.288300004,3.890563058,4.81166596,1.483166622,2.488572427,0.2347520884,0.3624217085,sub-109325
9.342659781,9.760436873,8.859968236,9.904146902,9.409889235,8.604126572,8.768831131,8.684915706,9.565166929,8.626212599,8.125325238,9.417018876,10.00909612,5.049282338,6.519598889,4.778492395,4.13185263,7.15761899,0.9442406225,-4.0939974910000005,sub-110411
7.228130602999999,6.1567171929999995,6.600532304,6.499017747000001,6.07807896,6.921955994,6.939378716,7.322526389,5.2414185689999995,5.779315747999999,6.843962887999999,5.381405701,6.497245351,5.117934921,5.193327749,3.3194225569999998,7.003893413999999,6.529070011,0.8560524257,0.8098443922,sub-110613
8.774287092,8.013725615,7.3194749439999995,8.779327262,7.047137274,8.159171427,7.64685712,8.114781951,6.841132268,8.747900304,7.877618336,7.522116686,8.15672323,5.951299846,5.509563141,4.586853381,3.8722296480000002,2.4849003869999997,0.6978324557,0.3554580368,sub-111312
