Row,smith09_01,smith09_02,smith09_03,smith09_04,smith09_05,smith09_06,smith09_07,smith09_08,smith09_09,smith09_10
melodic_IC,24,24,7,18,22,13,18,17,19,20
corr with Smith09,0.28,0.27,0.34,0.22,0.02,0.26,0.4,0.16,0.46,0.46
mean corr (other),0.153333333333333,0.132916666666667,0.15875,-0.10875,-0.0075,0.0220833333333333,0.0454166666666667,0.0529166666666667,0.16125,0.161666666666667
std corr (other),0.0980978511782858,0.0972884177684274,0.131523266250566,0.113915014088498,0.01510830465556,0.0889542709421002,0.139033282429742,0.056835320208374,0.149442805694731,0.163512176562047
min corr (other),-0.13,-0.13,-0.13,-0.3,-0.03,-0.13,-0.22,-0.05,-0.19,-0.28
max corr (other),0.27,0.25,0.33,0.14,0.02,0.21,0.36,0.14,0.39,0.41
