Row,smith09_01,smith09_02,smith09_03,smith09_04,smith09_05,smith09_06,smith09_07,smith09_08,smith09_09,smith09_10
melodic_IC,4,9,1,14,22,12,8,15,7,3
corr with Smith09,0.78,0.7,0.56,0.5,0.32,0.35,0.44,0.52,0.56,0.46
mean corr (other),-0.0108333333333333,-0.00333333333333333,0.0241666666666667,0.00791666666666667,-0.02125,0.0266666666666667,0.0125,0.0145833333333333,0.0133333333333333,0.02875
std corr (other),0.0654028763272997,0.0681855949766433,0.0850532654929515,0.129446284534204,0.0618773330697606,0.114727149535669,0.12494346547626,0.0970871041750729,0.102857717964806,0.129222171337652
min corr (other),-0.13,-0.12,-0.13,-0.22,-0.14,-0.18,-0.16,-0.06,-0.16,-0.14
max corr (other),0.18,0.16,0.17,0.49,0.12,0.31,0.34,0.38,0.24,0.4
