Row,smith09_01,smith09_02,smith09_03,smith09_04,smith09_05,smith09_06,smith09_07,smith09_08,smith09_09,smith09_10
melodic_IC,12,18,5,22,25,10,17,22,18,20
corr with Smith09,0.36,0.26,0.41,0.22,0.05,0.27,0.39,0.3,0.42,0.44
mean corr (other),0.112916666666667,0.157083333333333,0.162083333333333,-0.06,-0.0145833333333333,0.0683333333333333,0.123333333333333,0.00791666666666667,0.16875,0.181666666666667
std corr (other),0.116674171601261,0.103523959279616,0.196954622155475,0.105953230042891,0.0248437143947425,0.102815438980503,0.127949265307596,0.0827242231843205,0.141246392797341,0.168617567465466
min corr (other),-0.05,-0.21,-0.37,-0.22,-0.08,-0.08,-0.14,-0.09,-0.19,-0.27
max corr (other),0.34,0.25,0.39,0.18,0.03,0.24,0.31,0.18,0.37,0.4
